# timestamp tx ty tz qx qy qz qw
1.520520210018768072e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.520520210068768978e+09 -1.078593195416033268e-03 -5.268254317343235016e-04 -6.294574704952538013e-04 2.940392211007848786e-04 -1.165065414937792743e-03 -1.994639111569119702e-03 9.999972887854895465e-01
1.520520210118768692e+09 -2.585632028058171272e-03 -7.412009872496128082e-04 -1.689237775281071663e-03 1.338292281243834035e-03 -3.162833631136194399e-03 -1.736126014894457358e-03 9.999925956344135614e-01
1.520520210168770552e+09 -3.453435376286506653e-03 -1.042753458023071289e-03 -3.136972663924098015e-03 2.286025944017419913e-03 -4.833032213326001088e-03 -9.633892005817202208e-04 9.999852437742552391e-01
1.520520210218772888e+09 -4.088973626494407654e-03 -1.058968598954379559e-03 -4.194537643343210220e-03 2.613001887478634631e-03 -4.634178565171464398e-03 1.057660450758217136e-04 9.999858426116370325e-01
1.520520210268773794e+09 -4.446275532245635986e-03 -1.236190553754568100e-03 -5.663633812218904495e-03 1.562337819109476224e-03 -3.038329231946425811e-03 6.449257333957766946e-04 9.999939558451419463e-01
1.520520210318774939e+09 -4.788188729435205460e-03 -1.138799008913338184e-03 -6.722633726894855499e-03 1.048506658495759487e-03 -8.570581774593965217e-04 7.185995039362139342e-04 9.999988248492197584e-01
1.520520210368776798e+09 -4.989426117390394211e-03 -1.024019788019359112e-03 -8.101671002805233002e-03 5.984461082395538039e-04 1.231098413587880438e-03 1.269596959966458327e-03 9.999982571897367833e-01
1.520520210418778658e+09 -4.919772036373615265e-03 -5.172736709937453270e-04 -9.746934287250041962e-03 1.048593513223921268e-03 1.578581232648912629e-03 2.327564325736774641e-03 9.999954954784774364e-01
1.520520210468779802e+09 -4.663283936679363251e-03 -8.099500701064243913e-05 -1.107172016054391861e-02 3.379226997572472042e-03 7.805103367968115697e-04 3.270838749195740039e-03 9.999886365566309498e-01
1.520520210518786192e+09 -3.970314282923936844e-03 3.533138369675725698e-04 -1.276271417737007141e-02 5.834741997929634820e-03 4.899635690221617983e-04 4.090442797927790371e-03 9.999744916742804302e-01
1.520520210568787098e+09 -4.008829593658447266e-03 3.136623126920312643e-04 -1.378738600760698318e-02 7.379882228734325686e-03 -4.534135054675016803e-04 3.487441326196034138e-03 9.999665841954317180e-01
1.520520210618789196e+09 -3.951508551836013794e-03 -1.052644256560597569e-05 -1.426816359162330627e-02 8.938562375792189624e-03 -2.376018842471123386e-03 1.848738383385946848e-03 9.999555184124462315e-01
1.520520210668790102e+09 -3.545917337760329247e-03 -1.478698832215741277e-04 -1.448951382189989090e-02 1.058678342729023683e-02 -3.101608523369255542e-03 1.188905459424188880e-03 9.999384413777879788e-01
1.520520210718791962e+09 -2.847669180482625961e-03 3.159284242428839207e-04 -1.465638447552919388e-02 1.151736671997280297e-02 -4.056780851354522752e-03 2.072495299354295412e-03 9.999232958363336587e-01
1.520520210768794298e+09 -2.138105221092700958e-03 8.964994922280311584e-04 -1.448755059391260147e-02 1.126259904673974563e-02 -5.822554524669777860e-03 4.366945346577886730e-03 9.999100867127300729e-01
1.520520210818795204e+09 -1.628493191674351692e-03 1.953803235664963722e-03 -1.426132023334503174e-02 1.072737547416397798e-02 -7.042860433953117109e-03 6.613557525166715613e-03 9.998957857642992719e-01
