#timestamp tx ty tz qx qy qz qw
1.403636579763555765e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -5.277849375633048706e-02 -8.023747823570069881e-01 0.000000000000000000e+00 5.944822446754475243e-01
1.403636579813555479e+09 3.828657791018486023e-04 -9.857659460976719856e-05 -2.031802199780941010e-03 -5.392327120100393056e-02 -8.015765488971515751e-01 -2.603980460666561417e-03 5.954498604978222254e-01
1.403636579863555670e+09 1.860887976363301277e-03 -4.836908192373812199e-04 -7.697241380810737610e-03 -5.394548547755822349e-02 -8.030967154100913108e-01 -5.257795664977102899e-03 5.933783833936476793e-01
1.403636579913555622e+09 4.356339573860168457e-03 -1.130370888859033585e-03 -1.629174128174781799e-02 -5.431180714843759916e-02 -8.061297380011224201e-01 -5.946322694917990752e-03 5.892110949065035852e-01
1.403636579963555574e+09 -1.893600565381348133e-03 -4.031136631965637207e-03 -8.750940859317779541e-02 -5.365067361861758366e-02 -8.172254583669058547e-01 -7.231385931586080743e-03 5.737698689150360076e-01
1.403636580013555527e+09 -1.897100475616753101e-03 -5.737687461078166962e-03 -1.160575896501541138e-01 -5.546797153039687706e-02 -8.192424901355407352e-01 -5.238131701310644144e-03 5.707342713269470957e-01
1.403636580063555717e+09 -1.250818022526800632e-03 -7.000789977610111237e-03 -1.438883244991302490e-01 -5.496376410773513854e-02 -8.210549996084959279e-01 -6.818473376854192192e-03 5.681559474948854049e-01
1.403636580113555431e+09 6.312302430160343647e-04 -8.025360293686389923e-03 -1.703232079744338989e-01 -5.613134225828836366e-02 -8.225779831902035877e-01 -5.694294142393591628e-03 5.658465419186017309e-01
1.403636580163555622e+09 1.827239175327122211e-03 -9.660287760198116302e-03 -1.962024569511413574e-01 -5.703805054322635265e-02 -8.235232291510506952e-01 -4.419602950233482951e-03 5.643904844596662196e-01
1.403636580213555574e+09 2.883942797780036926e-03 -1.087613776326179504e-02 -2.201993912458419800e-01 -5.685791005466139802e-02 -8.247247941220144929e-01 -3.920800055853407295e-03 5.626551513596395049e-01
